p max 2002 23936
n 0 s
n 1 t
a 0 1002 4033
a 0 1003 5807
a 0 1004 6642
a 0 1005 6538
a 0 1006 6092
a 0 1007 5252
a 0 1008 4351
a 0 1009 2843
a 0 1010 2627
a 0 1011 2564
a 0 1012 3088
a 0 1013 3799
a 0 1014 4447
a 0 1015 5590
a 0 1016 5794
a 0 1017 6462
a 0 1018 6176
a 0 1019 5982
a 0 1020 4825
a 0 1021 3535
a 0 1022 5490
a 0 1023 7656
a 0 1024 8363
a 0 1025 7609
a 0 1026 6335
a 0 1027 5359
a 0 1028 4398
a 0 1029 3214
a 0 1030 2417
a 0 1031 2782
a 0 1032 3386
a 0 1033 4702
a 0 1034 5189
a 0 1035 6415
a 0 1036 7324
a 0 1037 8514
a 0 1038 8479
a 0 1039 8294
a 0 1040 6866
a 0 1041 4795
a 0 1042 6464
a 0 1043 8609
a 0 1044 9072
a 0 1045 7743
a 0 1046 5942
a 0 1047 4773
a 0 1048 4396
a 0 1049 4061
a 0 1050 3783
a 0 1051 3789
a 0 1052 3876
a 0 1053 4450
a 0 1054 4477
a 0 1055 5476
a 0 1056 6996
a 0 1057 8875
a 0 1058 9595
a 0 1059 9446
a 0 1060 7711
a 0 1061 5239
a 0 1062 6220
a 0 1063 8149
a 0 1064 7939
a 0 1065 6110
a 0 1066 4082
a 0 1067 4025
a 0 1068 4994
a 0 1069 5722
a 0 1070 5642
a 0 1071 5479
a 0 1072 5181
a 0 1073 5127
a 0 1074 4167
a 0 1075 4231
a 0 1076 5371
a 0 1077 7618
a 0 1078 9198
a 0 1079 9641
a 0 1080 8275
a 0 1081 5848
a 0 1082 6298
a 0 1083 7729
a 0 1084 7135
a 0 1085 5300
a 0 1086 4001
a 0 1087 5055
a 0 1088 6708
a 0 1089 7878
a 0 1090 7845
a 0 1091 7193
a 0 1092 6733
a 0 1093 5886
a 0 1094 4377
a 0 1095 3185
a 0 1096 3696
a 0 1097 5813
a 0 1098 8113
a 0 1099 9270
a 0 1100 8136
a 0 1101 5673
a 0 1102 5811
a 0 1103 6889
a 0 1104 5859
a 0 1105 4156
a 0 1106 3544
a 0 1107 5726
a 0 1108 7875
a 0 1109 9358
a 0 1110 9221
a 0 1111 8807
a 0 1112 8551
a 0 1113 7702
a 0 1114 5466
a 0 1115 3203
a 0 1116 2874
a 0 1117 4880
a 0 1118 7538
a 0 1119 8997
a 0 1120 7949
a 0 1121 5582
a 0 1122 5999
a 0 1123 7085
a 0 1124 5834
a 0 1125 3801
a 0 1126 3250
a 0 1127 5416
a 0 1128 7734
a 0 1129 9196
a 0 1130 9484
a 0 1131 9335
a 0 1132 9070
a 0 1133 7701
a 0 1134 5186
a 0 1135 2955
a 0 1136 2909
a 0 1137 5321
a 0 1138 7925
a 0 1139 9028
a 0 1140 7702
a 0 1141 5117
a 0 1142 5156
a 0 1143 6840
a 0 1144 5813
a 0 1145 4032
a 0 1146 3069
a 0 1147 4575
a 0 1148 7071
a 0 1149 8790
a 0 1150 9593
a 0 1151 9641
a 0 1152 9076
a 0 1153 7119
a 0 1154 4066
a 0 1155 2213
a 0 1156 3320
a 0 1157 6091
a 0 1158 8674
a 0 1159 8964
a 0 1160 7636
a 0 1161 5022
a 0 1162 5172
a 0 1163 7208
a 0 1164 6969
a 0 1165 4973
a 0 1166 3733
a 0 1167 4363
a 0 1168 6765
a 0 1169 8403
a 0 1170 9173
a 0 1171 9475
a 0 1172 8860
a 0 1173 6740
a 0 1174 4028
a 0 1175 3034
a 0 1176 4994
a 0 1177 7562
a 0 1178 9309
a 0 1179 9362
a 0 1180 7958
a 0 1181 5442
a 0 1182 5295
a 0 1183 7242
a 0 1184 7777
a 0 1185 6269
a 0 1186 5017
a 0 1187 4919
a 0 1188 6640
a 0 1189 8259
a 0 1190 8803
a 0 1191 9129
a 0 1192 8506
a 0 1193 7223
a 0 1194 4993
a 0 1195 4585
a 0 1196 6421
a 0 1197 8550
a 0 1198 9600
a 0 1199 9374
a 0 1200 8275
a 0 1201 5904
a 0 1202 5329
a 0 1203 7077
a 0 1204 8069
a 0 1205 6935
a 0 1206 6209
a 0 1207 5971
a 0 1208 7355
a 0 1209 8260
a 0 1210 8676
a 0 1211 8813
a 0 1212 8839
a 0 1213 8480
a 0 1214 7336
a 0 1215 7118
a 0 1216 8055
a 0 1217 9102
a 0 1218 9454
a 0 1219 9519
a 0 1220 8687
a 0 1221 6588
a 0 1222 5388
a 0 1223 6929
a 0 1224 7573
a 0 1225 6889
a 0 1226 6402
a 0 1227 6393
a 0 1228 7266
a 0 1229 7965
a 0 1230 8465
a 0 1231 8645
a 0 1232 8744
a 0 1233 8799
a 0 1234 8309
a 0 1235 8275
a 0 1236 8709
a 0 1237 9273
a 0 1238 9438
a 0 1239 9352
a 0 1240 8618
a 0 1241 6699
a 0 1242 5141
a 0 1243 6884
a 0 1244 7035
a 0 1245 6093
a 0 1246 5650
a 0 1247 5830
a 0 1248 6589
a 0 1249 6983
a 0 1250 7950
a 0 1251 8100
a 0 1252 8850
a 0 1253 8643
a 0 1254 9043
a 0 1255 8724
a 0 1256 9149
a 0 1257 8892
a 0 1258 9160
a 0 1259 9213
a 0 1260 8619
a 0 1261 6474
a 0 1262 5356
a 0 1263 7095
a 0 1264 7057
a 0 1265 5615
a 0 1266 4937
a 0 1267 4648
a 0 1268 5085
a 0 1269 5307
a 0 1270 6254
a 0 1271 6609
a 0 1272 7635
a 0 1273 8161
a 0 1274 9077
a 0 1275 9019
a 0 1276 9198
a 0 1277 8760
a 0 1278 9019
a 0 1279 9131
a 0 1280 8487
a 0 1281 6066
a 0 1282 5599
a 0 1283 7677
a 0 1284 8401
a 0 1285 7106
a 0 1286 6038
a 0 1287 4843
a 0 1288 4831
a 0 1289 4527
a 0 1290 4936
a 0 1291 4913
a 0 1292 5802
a 0 1293 6492
a 0 1294 7540
a 0 1295 7971
a 0 1296 8743
a 0 1297 8804
a 0 1298 9193
a 0 1299 9562
a 0 1300 8728
a 0 1301 6145
a 0 1302 6064
a 0 1303 7842
a 0 1304 8859
a 0 1305 8554
a 0 1306 8162
a 0 1307 6875
a 0 1308 6268
a 0 1309 5398
a 0 1310 4509
a 0 1311 4010
a 0 1312 3831
a 0 1313 4857
a 0 1314 5440
a 0 1315 6602
a 0 1316 7615
a 0 1317 8331
a 0 1318 8839
a 0 1319 9269
a 0 1320 8416
a 0 1321 5985
a 0 1322 6324
a 0 1323 8391
a 0 1324 9782
a 0 1325 10000
a 0 1326 9840
a 0 1327 8760
a 0 1328 7994
a 0 1329 7214
a 0 1330 5969
a 0 1331 4885
a 0 1332 3324
a 0 1333 2615
a 0 1334 2462
a 0 1335 3760
a 0 1336 6229
a 0 1337 7972
a 0 1338 8994
a 0 1339 9105
a 0 1340 8000
a 0 1341 5515
a 0 1342 6273
a 0 1343 7977
a 0 1344 9143
a 0 1345 9532
a 0 1346 9846
a 0 1347 9414
a 0 1348 8881
a 0 1349 7971
a 0 1350 6689
a 0 1351 5279
a 0 1352 3592
a 0 1353 2244
a 0 1354 1470
a 0 1355 2472
a 0 1356 5008
a 0 1357 7420
a 0 1358 8762
a 0 1359 9084
a 0 1360 7828
a 0 1361 5312
a 0 1362 5867
a 0 1363 7793
a 0 1364 9076
a 0 1365 8906
a 0 1366 8695
a 0 1367 8128
a 0 1368 7674
a 0 1369 7021
a 0 1370 6260
a 0 1371 5373
a 0 1372 4117
a 0 1373 2627
a 0 1374 2001
a 0 1375 3033
a 0 1376 5672
a 0 1377 8073
a 0 1378 9298
a 0 1379 9444
a 0 1380 7933
a 0 1381 5325
a 0 1382 5900
a 0 1383 7260
a 0 1384 8260
a 0 1385 7549
a 0 1386 7118
a 0 1387 6437
a 0 1388 5994
a 0 1389 5584
